name,domains,web_pages,country,alpha_two_code,state-province
Cedarville College,['cedarville.edu'],['http://www.cedarville.edu/'],United States,US,
Centenary College of Louisiana,['centenary.edu'],['http://www.centenary.edu/'],United States,US,
Central College,['central.edu'],['http://www.central.edu/'],United States,US,
Central Connecticut State University,['ccsu.edu'],['http://www.ccsu.edu/'],United States,US,
Central Methodist College,['cmc.edu'],['http://www.cmc.edu/'],United States,US,
Central Michigan University,['cmich.edu'],['http://www.cmich.edu/'],United States,US,
Central Washington University,['cwu.edu'],['http://www.cwu.edu/'],United States,US,
Centre College,['centre.edu'],['http://www.centre.edu/'],United States,US,
Chadron State College,['csc.edu'],['http://www.csc.edu/'],United States,US,
Champlain College,['champlain.edu'],['http://www.champlain.edu/'],United States,US,
Chapman University,['chapman.edu'],['http://www.chapman.edu/'],United States,US,
Chatham College,['chatham.edu'],['http://www.chatham.edu/'],United States,US,
Chesapeake College,['chesapeake.edu'],['http://www.chesapeake.edu/'],United States,US,
Cheyney University,['cheyney.edu'],['http://www.cheyney.edu/'],United States,US,
Chicago School of Professional Psychology,['csopp.edu'],['http://www.csopp.edu/'],United States,US,
Christian Brothers University,['cbu.edu'],['http://www.cbu.edu/'],United States,US,
Christian Theological Seminary,['cts.edu'],['http://www.cts.edu/'],United States,US,
Christopher Newport University,['cnu.edu'],['http://www.cnu.edu/'],United States,US,
City University,['cityu.edu'],['http://www.cityu.edu/'],United States,US,
City University of New York,['cuny.edu'],['http://www.cuny.edu/'],United States,US,
Claremont Graduate School,['cgs.edu'],['http://www.cgs.edu/'],United States,US,
Claremont McKenna College,['claremontmckenna.edu'],['http://www.cmc.edu/'],United States,US,
Clarion University of Pennsylvania,['clarion.edu'],['http://www.clarion.edu/'],United States,US,Pennsylvania
Clarke College,['clarke.edu'],['http://www.clarke.edu/'],United States,US,
Clarkson University,['clarkson.edu'],['http://www.clarkson.edu/'],United States,US,
Clark University,['clarku.edu'],['http://www.clarku.edu/'],United States,US,
Clayton State College,['clayton.edu'],['http://www.clayton.edu/'],United States,US,
Clemson University,['clemson.edu'],['http://www.clemson.edu/'],United States,US,
Cleveland State University,['csuohio.edu'],['http://www.csuohio.edu/'],United States,US,
Clinch Valley College,['clinch.edu'],['http://www.clinch.edu/'],United States,US,
Coastal Carolina University,['coastal.edu'],['http://www.coastal.edu/'],United States,US,
Coast Colleges,['cccd.edu'],['http://www.cccd.edu/'],United States,US,
Coe College,['coe.edu'],['http://www.coe.edu/'],United States,US,
Coker College,['coker.edu'],['http://www.coker.edu/'],United States,US,
Colby College,['colby.edu'],['http://www.colby.edu/'],United States,US,
Colgate University,['colgate.edu'],['http://www.colgate.edu/'],United States,US,
College of Charleston,['cofc.edu'],['http://www.cofc.edu/'],United States,US,
College of Eastern Utah,['ceu.edu'],['http://www.ceu.edu/'],United States,US,
College of New Rochelle,['cnr.edu'],['http://www.cnr.edu/'],United States,US,
College of Saint Benedict,['csbsju.edu'],['http://www.csbsju.edu/'],United States,US,
College of Saint Catherine,['stkate.edu'],['http://www.stkate.edu/'],United States,US,
College of Saint Rose,['strose.edu'],['http://www.strose.edu/'],United States,US,
College of St. Francis,['stfrancis.edu'],['http://www.stfrancis.edu/'],United States,US,
College of St. Scholastica,['css.edu'],['http://www.css.edu/'],United States,US,
College of the Atlantic,['coa.edu'],['http://www.coa.edu/'],United States,US,
College of the Holy Cross,['holycross.edu'],['http://www.holycross.edu/'],United States,US,
College of William and Mary,['wm.edu'],['http://www.wm.edu/'],United States,US,
College of Wooster,['wooster.edu'],['http://www.wooster.edu/'],United States,US,
Colorado Christian University,['ccu.edu'],['http://www.ccu.edu/'],United States,US,
Colorado College,['coloradocollege.edu'],['http://www.coloradocollege.edu/'],United States,US,
Colorado Mesa University,['coloradomesa.edu'],['http://www.coloradomesa.edu/'],United States,US,
Colorado School of Mines,['mines.edu'],['http://www.mines.edu/'],United States,US,
Colorado State University,['colostate.edu'],['http://www.colostate.edu/'],United States,US,
Colorado Technical University,"['coloradotech.edu', 'ctuonline.edu']","['http://www.coloradotech.edu/', 'http://www.ctuonline.edu/']",United States,US,
University of Colorado Anschutz Medical Campus,['cuanschutz.edu'],['https://www.cuanschutz.edu/'],United States,US,
Columbia College Chicago,['colum.edu'],['http://www.colum.edu/'],United States,US,
Columbia Southern University,['colsouth.edu'],['http://www.colsouth.edu/'],United States,US,
Columbia Union College,['cuc.edu'],['http://www.cuc.edu/'],United States,US,
Columbia University,['columbia.edu'],['http://www.columbia.edu/'],United States,US,
Community College of Baltimore County,['ccbcmd.edu'],['http://www.ccbcmd.edu/'],United States,US,
Concordia College - Ann Arbor,['ccaa.edu'],['http://www.ccaa.edu/'],United States,US,
Concordia College - Moorhead,['cord.edu'],['http://www.cord.edu/'],United States,US,
Concordia College - Seward,['ccsn.edu'],['http://www.ccsn.edu/'],United States,US,
Concordia College - St. Paul,['csp.edu'],['http://www.csp.edu/'],United States,US,
Connecticut College,['conncoll.edu'],['http://www.conncoll.edu/'],United States,US,
Connecticut State University System,['ct.edu'],['http://www.ct.edu/'],United States,US,
Cooper Union for the Advancement of Science and Art,['cooper.edu'],['http://www.cooper.edu/'],United States,US,
Coppin State University,['coppin.edu'],['http://www.coppin.edu/'],United States,US,
Allen College,['allencollege.edu'],['https://www.allencollege.edu/'],United States,US,Iowa
